 bill                     | billing_date         | date
 bill                     | billing_period_end   | date
 bill                     | billing_period_start | date
 bill                     | contract_id          | integer
 bill                     | data_usage           | integer
 bill                     | id                   | integer
 bill                     | is_paid              | boolean
 bill                     | one_time_fees        | numeric
 bill                     | overage_charge       | numeric
 bill                     | recurring_fees       | numeric
 bill                     | roaming_charge       | numeric
 bill                     | ror_charge           | numeric
 bill                     | sms_usage            | integer
 bill                     | status               | USER-DEFINED
 bill                     | taxes                | numeric
 bill                     | total_amount         | numeric
 bill                     | voice_usage          | integer
 cdr                      | dial_a               | character varying
 cdr                      | dial_b               | character varying
 cdr                      | duration             | integer
 cdr                      | external_charges     | numeric
 cdr                      | file_id              | integer
 cdr                      | hplmn                | character varying
 cdr                      | id                   | integer
 cdr                      | rated_flag           | boolean
 cdr                      | rated_service_id     | integer
 cdr                      | service_id           | integer
 cdr                      | start_time           | timestamp without time zone
 cdr                      | vplmn                | character varying
 contract                 | available_credit     | numeric
 contract                 | credit_limit         | numeric
 contract                 | id                   | integer
 contract                 | msisdn               | character varying
 contract                 | rateplan_id          | integer
 contract                 | status               | USER-DEFINED
 contract                 | user_account_id      | integer
 contract_addon           | contract_id          | integer
 contract_addon           | expiry_date          | date
 contract_addon           | id                   | integer
 contract_addon           | is_active            | boolean
 contract_addon           | price_paid           | numeric
 contract_addon           | purchased_date       | date
 contract_addon           | service_package_id   | integer
 contract_consumption     | bill_id              | integer
 contract_consumption     | consumed             | numeric
 contract_consumption     | contract_id          | integer
 contract_consumption     | ending_date          | date
 contract_consumption     | is_billed            | boolean
 contract_consumption     | quota_limit          | numeric
 contract_consumption     | rateplan_id          | integer
 contract_consumption     | service_package_id   | integer
 contract_consumption     | starting_date        | date
 file                     | file_path            | text
 file                     | id                   | integer
 file                     | parsed_flag          | boolean
 invoice                  | bill_id              | integer
 invoice                  | generation_date      | timestamp without time zone
 invoice                  | id                   | integer
 invoice                  | pdf_path             | text
 msisdn_pool              | id                   | integer
 msisdn_pool              | is_available         | boolean
 msisdn_pool              | msisdn               | character varying
 rateplan                 | id                   | integer
 rateplan                 | name                 | character varying
 rateplan                 | price                | numeric
 rateplan                 | ror_data             | numeric
 rateplan                 | ror_sms              | numeric
 rateplan                 | ror_voice            | numeric
 rateplan_service_package | rateplan_id          | integer
 rateplan_service_package | service_package_id   | integer
 ror_contract             | bill_id              | integer
 ror_contract             | contract_id          | integer
 ror_contract             | data                 | integer
 ror_contract             | rateplan_id          | integer
 ror_contract             | roaming_data         | numeric
 ror_contract             | roaming_sms          | numeric
 ror_contract             | roaming_voice        | numeric
 ror_contract             | sms                  | integer
 ror_contract             | voice                | integer
 service_package          | amount               | numeric
 service_package          | description          | text
 service_package          | id                   | integer
 service_package          | is_roaming           | boolean
 service_package          | name                 | character varying
 service_package          | price                | numeric
 service_package          | priority             | integer
 service_package          | type                 | USER-DEFINED
 user_account             | address              | text
 user_account             | birthdate            | date
 user_account             | email                | character varying
 user_account             | id                   | integer
 user_account             | name                 | character varying
 user_account             | password             | character varying
 user_account             | role                 | USER-DEFINED
 user_account             | username             | character varying

